City,Date,Temperature,MaxTemp,MinTemp,Humidity,Pressure,WindSpeed,WindDirection,WindGusts,Precipitation
Athens,2025-04-10T00:00:00Z,5.7,12.7,5.4,85.7,1022.0,0.6,24.9,3.7,0.0
Athens,2025-04-10T01:00:00Z,5.3,12.8,4.9,89.0,1022.0,0.8,23.8,3.7,0.0
Athens,2025-04-10T02:00:00Z,5.5,12.8,4.9,84.2,1021.0,0.8,13.8,3.7,0.0
Athens,2025-04-10T03:00:00Z,5.5,12.8,4.9,81.8,1021.0,0.8,18.2,3.7,0.0
Athens,2025-04-10T04:00:00Z,5.7,12.8,4.9,80.9,1021.0,0.6,13.3,3.7,0.0
Athens,2025-04-10T05:00:00Z,7.6,12.8,4.9,76.5,1021.0,0.6,351.0,3.7,0.0
Athens,2025-04-10T06:00:00Z,9.8,12.8,4.9,72.0,1021.0,0.7,311.5,3.7,0.0
Athens,2025-04-10T07:00:00Z,11.3,12.8,4.9,66.2,1021.0,1.0,284.3,3.7,0.0
Athens,2025-04-10T08:00:00Z,12.7,13.1,4.9,58.9,1021.0,1.6,251.7,3.7,0.0
Athens,2025-04-10T09:00:00Z,13.9,14.3,4.9,54.0,1020.0,2.3,238.5,3.8,0.0
Athens,2025-04-10T10:00:00Z,15.0,15.5,4.8,50.4,1019.0,2.8,232.3,4.5,0.0
Athens,2025-04-10T11:00:00Z,15.7,16.3,4.8,45.9,1019.0,3.3,232.9,5.1,0.0
Athens,2025-04-10T12:00:00Z,15.9,16.5,4.7,43.6,1017.0,3.1,240.2,5.1,0.0
Athens,2025-04-10T13:00:00Z,16.2,16.7,4.7,43.1,1016.0,3.1,230.6,5.1,0.0
Athens,2025-04-10T14:00:00Z,15.8,16.7,4.7,46.0,1015.0,3.5,233.0,5.9,0.0
Athens,2025-04-10T15:00:00Z,15.3,16.7,4.7,48.8,1015.0,3.5,233.1,6.6,0.0
Athens,2025-04-10T16:00:00Z,14.6,16.7,4.7,53.7,1014.0,3.0,241.5,6.6,0.0
Athens,2025-04-10T17:00:00Z,13.4,16.7,4.7,58.5,1014.0,2.6,255.8,7.0,0.0
Athens,2025-04-10T18:00:00Z,12.6,16.7,4.7,61.3,1014.0,2.2,283.8,7.2,0.0
Athens,2025-04-10T19:00:00Z,11.7,16.7,4.7,66.1,1015.0,1.8,301.8,7.2,0.0
Athens,2025-04-10T20:00:00Z,10.8,16.7,4.7,70.3,1015.0,1.4,317.6,7.2,0.0
Athens,2025-04-10T21:00:00Z,10.3,16.7,4.7,72.0,1015.0,1.4,326.2,7.2,0.0
Athens,2025-04-10T22:00:00Z,10.0,16.7,4.7,74.2,1015.0,1.2,330.0,7.2,0.0
Athens,2025-04-10T23:00:00Z,9.8,16.7,4.7,74.5,1015.0,1.2,336.8,7.2,0.0
Athens,2025-04-11T00:00:00Z,9.0,16.7,4.7,77.4,1015.0,1.1,345.1,7.2,0.0
Athens,2025-04-11T01:00:00Z,8.6,16.7,4.7,76.8,1015.0,1.6,352.4,7.2,0.0
Athens,2025-04-11T02:00:00Z,8.8,16.7,4.9,70.8,1015.0,1.9,344.7,7.2,0.0
Athens,2025-04-11T03:00:00Z,8.7,16.7,4.9,70.6,1015.0,1.9,340.3,7.8,0.0
Athens,2025-04-11T04:00:00Z,10.5,16.6,5.1,65.4,1015.0,3.1,358.3,11.1,0.0
